car_price_in_rupees,kms_driven,fuel_type,city,company,model,age,price_per_km,price_per_year,km_per_year
445000.0,44681,Petrol,Hyderabad,Maruti Suzuki,Swift DZire ZXI,13,9.959267714068305,31785.714285714286,3191.5
299000.0,65428,Petrol,Pune,Renault,Kwid RXT [2015-2019],9,4.569839062189549,29900.0,6542.8
391000.0,84344,Petrol,Delhi,Hyundai,Verna Fluidic 1.6 VTVT SX,12,4.63572233090284,30076.923076923078,6488.0
890000.0,113600,Diesel,Thane,Maruti Suzuki,Vitara Brezza ZDi Plus AGS,7,7.834438077129603,111250.0,14200.0
599000.0,17778,CNG,Delhi,Maruti Suzuki,Wagon R LXi 1.0 CNG,5,33.69143371393217,99833.33333333333,2963.0
580000.0,33269,Petrol,Kolkata,Maruti Suzuki,Baleno Delta 1.2,7,17.43312293357379,72500.0,4158.625
1925000.0,15222,Petrol,Bangalore,MG,Hector Sharp 1.5 DCT Petrol [2019-2020],4,126.45339289233397,385000.0,3044.4
925000.0,87139,Diesel,Hyderabad,Honda,City V Diesel,8,10.615102134496214,102777.77777777778,9682.111111111111
340000.0,69551,Petrol,Delhi,Maruti Suzuki,Swift VXi ABS,12,4.88842880147228,26153.846153846152,5350.076923076923
484999.99999999994,72500,Diesel,Thane,Hyundai,Verna Fluidic 1.6 CRDi SX,12,6.689562902580653,37307.692307692305,5576.923076923077
633000.0,28899,Petrol,Delhi,Maruti Suzuki,Swift ZXi,7,21.903114186851212,79125.0,3612.375
396000.0,13595,Petrol,Kolkata,Maruti Suzuki,Wagon R 1.0 VXI,8,29.12621359223301,44000.0,1510.5555555555557
775000.0,19418,Petrol,Bangalore,Hyundai,Elite i20 Magna Executive 1.2,6,39.909367114681494,110714.28571428571,2774.0
491000.0,74000,Diesel,Thane,Ford,EcoSport Ambiente 1.5L TDCi,11,6.635045472358482,40916.666666666664,6166.666666666667
425000.0,21707,Diesel,Kolkata,Hyundai,Xcent SX CRDi,8,19.578035747189976,47222.22222222222,2411.8888888888887
740000.0,83555,Diesel,Hyderabad,Mahindra,XUV500 W8,12,8.85633587055388,56923.07692307692,6427.307692307692
585000.0,37000,Petrol,Mumbai,Hyundai,Verna 1.6 VTVT SX,10,15.810383503148563,53181.818181818184,3363.6363636363635
385000.0,43000,Petrol,Noida,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],11,8.953280156275435,32083.333333333332,3583.3333333333335
690000.0,21769,Petrol,Mumbai,Maruti Suzuki,Baleno Zeta 1.2 AT,8,31.694993109784107,76666.66666666667,2418.777777777778
799000.0,14886,Petrol,Mumbai,Maruti Suzuki,Ciaz Zeta Hybrid 1.5 [2018-2020],7,53.67098811043192,99875.0,1860.75
1889999.9999999998,6602,Petrol,Ahmedabad,MG,Hector Plus Sharp 1.5 DCT Petrol,5,286.23353021353927,314999.99999999994,1100.3333333333333
385000.0,58000,CNG,Thane,Maruti Suzuki,Wagon R 1.0 LXI CNG,11,6.637816589369149,32083.333333333332,4833.333333333333
407000.0,63339,CNG,Pune,Maruti Suzuki,Wagon R 1.0 LXI CNG,11,6.425639406378276,33916.666666666664,5278.25
830000.0000000001,4500,Petrol,Faridabad,Maruti Suzuki,Ciaz Delta 1.5,5,184.40346589646748,138333.33333333334,750.0
760000.0,23600,Petrol,Chennai,Renault,Triber RXZ EASY-R AMT,5,32.20202533790941,126666.66666666667,3933.3333333333335
955000.0000000001,17844,Petrol,Kolkata,Hyundai,Venue S 1.0 Petrol [2019-2020],6,53.51639114597927,136428.57142857145,2549.1428571428573
875000.0,21000,Petrol,Ahmedabad,Honda,City SV,6,41.66468263416028,125000.0,3000.0
250000.0,60000,Diesel,Thiruvallur,Tata,Indica LS,8,4.16659722337961,27777.777777777777,6666.666666666667
450000.0,34530,Petrol,Thane,Maruti Suzuki,Celerio VXi AMT,9,13.03176855579045,45000.0,3453.0
1400000.0,117192,Petrol,Hyderabad,Honda,CR-V 2.4 AT,11,11.946105996091918,116666.66666666667,9766.0
595000.0,54000,Diesel,Thane,Honda,Jazz VX Diesel,9,11.018314475657858,59500.0,5400.0
679000.0,38999,Petrol,Bangalore,Nissan,Terrano XL (P),9,17.41025641025641,67900.0,3899.9
660000.0,58549,Diesel,Chennai,Volkswagen,Ameo Highline Plus 1.5L AT (D)16 Alloy,8,11.272416737830914,73333.33333333333,6505.444444444444
687000.0,41055,Petrol,Delhi,Hyundai,Elite i20 Sportz 1.2 [2016-2017],6,16.73324240062354,98142.85714285714,5865.0
304000.0,53728,Petrol,Delhi,Renault,Kwid 1.0 RXT [2016-2019],7,5.658024530514248,38000.0,6716.0
529000.0,42141,Petrol,Bangalore,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],8,12.552797684020693,58777.77777777778,4682.333333333333
416000.0,63130,Petrol,Delhi,Tata,Tiago JTP 1.2 [2018-2019],7,6.5894726837845115,52000.0,7891.25
301000.0,53912,Petrol,Chennai,Maruti Suzuki,Alto K10 VXi [2014-2019],9,5.583069018604047,30100.0,5391.2
941000.0,20678,Diesel,Thane,Tata,Nexon XMA Diesel,6,45.50510179409062,134428.57142857142,2954.0
490000.00000000006,48866,Petrol,Ahmedabad,Honda,Jazz E MT [2015-2016],9,10.027216731127346,49000.00000000001,4886.6
331000.0,32954,Petrol,Delhi,Renault,Kwid RXT [2015-2019],7,10.04399939311182,41375.0,4119.25
235000.0,37000,Petrol,Mumbai,Maruti Suzuki,Wagon R 1.0 VXi,13,6.351179697846004,16785.714285714286,2642.8571428571427
1390000.0,85000,Diesel,Ahmedabad,Mahindra,XUV500 W11 AT,7,16.35274879119069,173750.0,10625.0
925000.0,62690,Petrol,Bangalore,Volkswagen,Polo GT TSI,7,14.7549089981018,115625.0,7836.25
1204000.0,26230,Petrol,Delhi,Honda,City VX CVT Petrol,5,45.899889443787885,200666.66666666666,4371.666666666667
557000.0,19156,Petrol,Pune,Hyundai,Santro Sportz AMT,5,29.07553374745524,92833.33333333333,3192.6666666666665
579000.0,18350,Petrol,Kolkata,Hyundai,Grand i10 Nios Sportz 1.2 Kappa VTVT,5,31.551414091875102,96500.0,3058.3333333333335
554000.0,44053,Petrol,Pune,Hyundai,Elite i20 Magna Executive 1.2,7,12.57547555273074,69250.0,5506.625
340000.0,69000,Petrol,Ahmedabad,Hyundai,i10 1.1L iRDE Magna Special Edition,11,4.927464819350444,28333.333333333332,5750.0
1620000.0,51605,Petrol,Pune,Kia,Seltos GTX 1.4 Dual Tone,6,31.391698639693058,231428.57142857142,7372.142857142857
1895000.0,35438,Diesel,Thane,Tata,Harrier XZ Plus Dual Tone,5,53.47216343576286,315833.3333333333,5906.333333333333
885000.0,38500,Petrol,Ahmedabad,Maruti Suzuki,Ciaz Alpha 1.4 AT,5,22.986415937248385,147500.0,6416.666666666667
484000.0,20583,CNG,Pune,Maruti Suzuki,Wagon R 1.0 LXI CNG,7,23.513408472600076,60500.0,2572.875
715000.0,81325,Diesel,Kolkata,Skoda,Rapid Style 1.5 TDI AT,9,8.791776307699875,71500.0,8132.5
590000.0,35000,Petrol,Ahmedabad,Maruti Suzuki,Baleno Zeta 1.2,8,16.856661238250336,65555.55555555556,3888.8888888888887
484999.99999999994,25000,Petrol,Hyderabad,Maruti Suzuki,Celerio VXi AMT ABS,10,19.399224031038756,44090.90909090909,2272.7272727272725
462000.0,37993,Petrol,Delhi,Honda,Jazz V Petrol,10,12.159814707585408,42000.0,3453.909090909091
1025000.0,63194,Petrol,Thane,Hyundai,Creta SX 1.6 (O) Petrol,7,16.2196376295593,128125.0,7899.25
180000.0,60000,Petrol,Thane,Hyundai,i10 1.2 L Kappa Magna Special Edition,16,2.9999500008333193,10588.235294117647,3529.4117647058824
1200000.0,70000,Petrol + 1,Ambattur,Honda,City VX CVT Petrol [2017-2019],7,17.14261224839645,150000.0,8750.0
1600000.0,51000,Diesel + 1,Ambattur,Tata,Hexa XTA 4x2 6 STR,7,31.37193388364934,200000.0,6375.0
830000.0000000001,22024,Petrol,Thane,Hyundai,Elite i20 Asta 1.2 (O) CVT [2019-2020],6,37.6844494892168,118571.4285714286,3146.285714285714
2095000.0,35793,Diesel,Hyderabad,Skoda,Octavia 2.0 TDI L&K,8,58.529362462982625,232777.77777777778,3977.0
1925000.0,75400,Diesel,Pune,Hyundai,Tucson GLS 4WD AT Diesel,8,25.530165382421984,213888.88888888888,8377.777777777777
475000.0,84996,Diesel,Hyderabad,Maruti Suzuki,Swift Dzire LDI,9,5.588432532912926,47500.0,8499.6
459999.99999999994,74767,Petrol,Mumbai,Maruti Suzuki,Swift VXi,10,6.152364647977744,41818.181818181816,6797.0
342000.0,63956,Petrol,Gurgaon,Honda,Amaze 1.2 EX i-VTEC,12,5.347342745907406,26307.69230769231,4919.692307692308
450000.0,48000,CNG,Thane,Maruti Suzuki,Wagon R 1.0 LXI CNG,8,9.374804691568926,50000.0,5333.333333333333
685000.0,48330,Diesel,Bangalore,Renault,Duster 85 PS RxL Diesel,11,14.173098011628147,57083.333333333336,4027.5
210000.0,93150,Petrol,Kolkata,Maruti Suzuki,Alto 800 Vxi,11,2.2544041395154104,17500.0,7762.5
545000.0,75000,Diesel,Noida,Mahindra,TUV300 T8 AMT mHAWK100,9,7.266569779069612,54500.0,7500.0
1075000.0,30672,Petrol,Bangalore,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],6,35.047109836012126,153571.42857142858,4381.714285714285
