price_per_year,price_segment,car_price_in_rupees
56900.0,Medium,569000.0
180333.33333333334,Very High,1082000.0
139800.0,Medium,699000.0
42500.0,Very Low,425000.0
40625.0,Very Low,325000.0
72333.33333333333,Medium,651000.0
65375.00000000001,Low,523000.00000000006
68500.0,Low,548000.0
51111.1111111111,Low,459999.99999999994
77222.22222222222,Medium,695000.0
57666.66666666667,Low,519000.00000000006
10000.000000000002,Very Low,110000.00000000001
228000.0,Very High,1140000.0
65545.45454545454,Medium,721000.0
98555.55555555555,High,886999.9999999999
77500.0,High,775000.0
125000.0,High,875000.0
26818.18181818182,Very Low,295000.0
350000.0,Very High,1750000.0
91666.66666666667,High,825000.0
45000.0,Low,450000.0
80625.0,Medium,645000.0
74000.0,Medium,666000.0
177666.66666666666,Very High,1066000.0
50000.0,Low,500000.0
29083.333333333332,Very Low,349000.0
18846.153846153848,Very Low,245000.00000000003
21071.428571428572,Very Low,295000.0
105000.0,Medium,630000.0
98750.0,High,790000.0
234375.0,Very High,1875000.0
88777.77777777778,High,799000.0
35333.333333333336,Very Low,424000.0
80555.55555555556,Medium,725000.0
74500.0,Medium,596000.0
90000.0,Low,540000.0
120000.0,High,840000.0
63181.818181818184,Medium,695000.0
24642.85714285714,Very Low,345000.0
87000.0,Medium,696000.0
202500.0,High,810000.0
51749.99999999999,Very Low,413999.99999999994
117857.14285714286,High,825000.0
69000.0,Medium,690000.0
385000.0,Very High,1925000.0
156818.18181818182,Very High,1725000.0
71000.0,Medium,639000.0
44500.0,Low,445000.0
63749.99999999999,Low,509999.99999999994
146000.0,Medium,730000.0
134000.0,Medium,670000.0
103125.0,High,825000.0
140333.33333333334,High,842000.0
69000.0,Medium,690000.0
143000.0,Medium,715000.0
90555.55555555556,High,815000.0
79142.85714285714,Low,554000.0
188333.33333333334,Very High,1695000.0
67615.38461538461,High,878999.9999999999
40833.333333333336,Low,490000.00000000006
203800.0,Very High,1019000.0
47090.90909090909,Low,518000.0
42111.11111111111,Very Low,379000.0
66000.0,Medium,660000.0
274833.3333333333,Very High,1648999.9999999998
121285.71428571429,High,849000.0
71428.57142857143,Low,500000.0
38777.77777777778,Very Low,349000.0
98166.66666666667,Medium,589000.0
78636.36363636363,High,865000.0
447499.99999999994,Very High,1789999.9999999998
116250.00000000001,High,930000.0000000001
86875.0,Medium,695000.0
9411.764705882353,Very Low,160000.0
83125.0,Medium,665000.0
79500.0,High,795000.0
205000.0,Very High,2050000.0
62500.0,Low,500000.0
122500.00000000001,High,980000.0000000001
100571.42857142857,Medium,704000.0
67727.27272727272,High,745000.0
55555.555555555555,Low,500000.0
67777.77777777778,Medium,610000.0
20312.5,Very Low,325000.0
39545.45454545454,Low,434999.99999999994
54416.666666666664,Medium,653000.0
54454.545454545456,Medium,599000.0
212857.14285714287,Very High,1490000.0
77500.0,Medium,620000.0
52700.0,Low,527000.0
47222.22222222222,Very Low,425000.0
55909.09090909091,Medium,615000.0
322500.0,Very High,1290000.0
23000.0,Very Low,345000.0
22307.69230769231,Very Low,290000.0
168833.33333333334,Very High,1013000.0000000001
29500.0,Very Low,295000.0
95200.0,Low,476000.0
98125.0,High,785000.0
15666.666666666666,Very Low,235000.0
481250.0,Very High,1925000.0
87500.0,Medium,700000.0
349799.99999999994,Very High,1748999.9999999998
49583.333333333336,Medium,595000.0
36111.11111111111,Very Low,325000.0
109375.0,High,875000.0
214250.0,High,857000.0
